,순위,영화명,개봉일,매출액,관객수,스크린수,배급사,coach,actor_main_name,actor_sub_name,actor_cameo_name,maker,only_gener,genre_one,year
0,1,명량,2014.7.30,"135,748,398,910",17613682,"1,587",씨제이이엔엠,김한민,"['최민식', '류승룡', '조진웅']","['김명곤', '진구', '이정현', '권율', '노민우', '이승준', '오타니료헤이', '박보검', '김원해', '이해영', '장준녕', '김길동', '김강일', '강태영', '김민석', '박노식', '최덕문', '조복래', '문영동', '이주실', '주석태', '고경표', '김태훈', '한이진', '신유람', '정원준']",,['빅스톤픽쳐스']," 사극, 액션 ",사극,2014
1,2,극한직업,2019.1.23,"139,647,979,516",16264944,"1,978",씨제이이엔엠,이병헌,"['류승룡', '이하늬', '진선규', '이동휘', '공명']","['양현민', '장진희', '오정세', '이중옥', '송영규', '신하균', '김의성', '김종수', '허준석']","['김강현', '김지영', '신신애']","['어바웃잇', '영화사 해그림 주식회사', '씨제이이엔엠']", 코미디 ,코미디,2019
2,3,신과함께-죄와 벌,2017.12.20,"115,698,654,137",14410754,"1,912",롯데쇼핑㈜롯데엔터테인먼트,김용화,"['하정우', '차태현', '주지훈', '김향기']","['김동욱', '오달수', '임원희', '도경수', '이준혁', '예수정', '장광', '정해균', '김수안', '정지훈', '마동석']","['이정재', '김해숙', '이경영', '김하늘']","['리얼라이즈픽쳐스', '덱스터스튜디오']"," 판타지, 드라마 ",판타지,2017
3,4,국제시장,2014.12.17,"110,913,469,630",14257115,966,씨제이이엔엠,윤제균,"['황정민', '김윤진', '오달수', '정진영']","['장영남', '라미란', '김슬기', '정영기', '맹세창', '박재우', '김재철']","['정윤호', '박영수']","['제이케이필름', '씨제이이엔엠']", 드라마 ,드라마,2014
4,5,베테랑,2015.8.5,"105,168,155,250",13414009,"1,064",씨제이이엔엠,류승완,"['황정민', '유아인', '유해진', '오달수']","['장윤주', '김시후', '오대환', '정웅인', '정만식', '송영창', '진경', '유인영', '박소담', '이동휘', '배성우', '천호진']",['김응수'],"['외유내강', '필름케이']"," 액션, 드라마 ",액션,2015
5,6,서울의 봄,2023.11.22,"127,924,472,553",13127637,"2,328",플러스엠 엔터테인먼트,김성수,"['황정민', '정우성', '이성민', '박해준', '김성균']","['김의성', '정동환', '안내상', '유성주', '최병모', '박훈', '이재윤', '김성오', '남윤호', '홍서준', '안세호', '정형석', '박정학', '박원상', '박민이', '염동헌', '전진기', '차래형', '공재민', '권혁', '한창현', '송영근', '전수지', '서광재', '임철형', '현봉식', '곽자형', '전운종', '이승희', '김기무', '문성복', '김옥주', '박정표', '곽진석', '한규원', '우미화', '차건우', '최원경']","['정만식', '정해인', '이준혁']",['하이브미디어코프'], 드라마 ,드라마,2023
6,7,괴물,2006.7.27,0,13019740,167,쇼박스,봉준호,"['송강호', '변희봉', '박해일', '배두나', '고아성']","['오달수', '박노식', '고수희', '윤제문', '김뢰하', '이재응', '이왕우']",,['영화사청어람']," SF, 가족, 드라마 ",SF,2006
7,8,도둑들,2012.7.25,"93,665,568,500",12983330,"1,072",쇼박스,최동훈,"['김윤석', '김혜수', '이정재', '전지현', '임달화', '김해숙', '오달수', '김수현', '이심결', '증국상']","['최덕문', '최진호', '예수정']",,['케이퍼필름']," 액션, 범죄 ",액션,2012
8,9,7번방의 선물,2013.1.23,"91,431,914,670",12811206,787,넥스트엔터테인먼트월드(NEW),이환경,"['류승룡', '박신혜', '갈소원', '오달수', '박원상', '김정태', '정만식', '김기천']","['조덕현)', '조재윤', '박길수']",,"['화인웍스', '씨엘엔터테인먼트']"," 코미디, 드라마 ",코미디,2013
9,10,암살,2015.7.22,"98,463,132,781",12705700,"1,519",쇼박스,최동훈,"['전지현', '이정재', '하정우']","['오달수', '조진웅', '이경영', '최덕문', '김의성', '박병은', '김홍파', '진경', '김인우', '심희섭', '허지원', '허정도', '정인겸']","['조승우', '김해숙']",['케이퍼필름']," 액션, 드라마 ",액션,2015
10,11,범죄도시2,2022.5.18,"131,295,679,478",12693175,"2,498","주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",이상용,"['마동석', '손석구', '최귀화']","['박지환', '허동원', '하준', '정재광', '남문철', '박지영', '이주원', '음문석', '김찬형', '이규원', '전진오', '이다일', '김영성', '차우진']","['정인기', '윤병희']","['주식회사 빅펀치픽쳐스', '홍필름', '비에이엔터테인먼트']"," 범죄, 액션 ",범죄,2022
11,12,"광해, 왕이 된 남자",2012.9.13,"88,900,208,769",12319542,810,씨제이이엔엠,추창민,"['이병헌', '류승룡', '한효주', '장광', '김인권', '심은경', '김명곤']","['박지아', '이양희', '전국향']",,"['리얼라이즈픽쳐스', '씨제이이엔엠']"," 사극, 드라마 ",사극,2012
12,13,왕의 남자,2005.12.29,0,12302831,94,시네마서비스,이준익,"['감우성', '이준기', '유해진', '정진영']","['강성연', '이동수', '김주홍', '장항선', '정석용']",,"['씨네월드', '이글픽쳐스']", 드라마 ,드라마,2005
